,,,,,,,,,,,,,,,,,
,MONDAY 12/08/2024,,,TUESDAY 13/08/2024,,,,WEDNESDAY 14/08/2024,,,THURSDAY 15/08/2024,,,,FRIDAY 16/08/2024,,
ROOM,9:00AM-11:00AM,11:30AM-1:30PM ,2:00PM-4:00PM ,8:30AM-9:30AM ,10:00AM-12:00PM,12:30PM-2:30PM,3:00PM-5:00PM,9:00AM-11:00AM,11:30PM-1:30PM,2:00PM-4:00PM,8:30AM-9:30AM ,10:00AM-12:00PM,12:30PM-2:30PM,3:00PM-5:00PM,9:00AM-11:00AM,11:30PM-1:30PM,2:00PM-4:00PM
LR10,,,,CHAPEL,,,,,,CHM328A,CHAPEL,,,,,,
LR11,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR12,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR13,,BIL1112A,,CHAPEL,,,,,,,CHAPEL,,,,,,
LR14,,BIL111A,,CHAPEL,,,,,ENG112A/ENG114A,,CHAPEL,,PHL111A,,,,
SB-B06,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G01,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G02,,,DAG027A,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G03,,,,CHAPEL,,,,,,,CHAPEL,,,,DAG023A,,
SB-G04,DAG019A,,,CHAPEL,,DEV213A,,,,,CHAPEL,,,,,,
SB-G08,DEV111A/SWK113A,,,CHAPEL,,,,DEV319A,,,CHAPEL,,,,,,
SB-G09,DEV211A/SWK213A,,,CHAPEL,,DEV416A,,,,,CHAPEL,,,,,,
SB-G10,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-G11,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-202,EDU226A,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-203,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-204,,,,CHAPEL,,FRE413A,,,,,CHAPEL,,,,,,
SB-301,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-301,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-302,,,PSY412A,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-303,,,SWK112A,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-304,,,TPC201A,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-305,,,GRE441A,CHAPEL,,,,,,,CHAPEL,TPC202A,TPC426A,,,,
SB-306,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-307,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-308,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-309,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-310,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
SB-311,,,,CHAPEL,,,,,,,CHAPEL,,,,,,
BCC1,DIR005A,,MAK212A,CHAPEL,INS111A,PSY312A,RET333A,BUS113A,,ACS100A/ACS101A,CHAPEL,SOC111A,,BUS211A,COM426A,,
BCC2,COM445A,BIL111B,COM263A,CHAPEL,INS111B,PSY414A,ENG098A,ACC311A,ENG112B/ENG114B,,CHAPEL,SOC314A,,COM302A,ENV200A,FRE414A,ACC111B
